Pallet ID,Pallet Title,LP,Category,Brand,Product Name,UPC,ASIN,Orig. Retail,Condition,Ave. Price per Unit
CSAA182385,"Portable Audio - beats by dre, Beats, GPB1 LLC",LPXX264013,Portable Audio,Aduro,Aduro Aqua Sound Shower Speaker - Black (AS-WSP20-01),849813000971,B07KYDKR43,$ 69.99,Uninspected Returns,$ 22.61
CSAA182385,"Portable Audio - beats by dre, Beats, GPB1 LLC",LPXX135324,Portable Audio,Aduro,Aduro Aqua Sound Shower Speaker - Black (AS-WSP20-01),849813000971,B07KYDKR43,$ 69.99,Uninspected Returns,$ 22.61
CSAA182385,"Portable Audio - beats by dre, Beats, GPB1 LLC",LPXX160590,Portable Audio,Aduro,Aduro Aqua Sound Shower Speaker - Black (AS-WSP20-01),849813000971,B07KYDKR43,$ 69.99,Uninspected Returns,$ 22.61
CSAA182385,"Portable Audio - beats by dre, Beats, GPB1 LLC",LPXX135680,Portable Audio,"MobileStar,",Aduro AquaSound Shower Bluetooth Speaker - Blue AS-WSP20,849813004191,B00P04UUB0,$ 19.99,Uninspected Returns,$ 22.61
CSAA182385,"Portable Audio - beats by dre, Beats, GPB1 LLC",LPBV178051,Portable Audio,Aduro,Aduro AQUASound Bluetooth Shower Speaker - Square (AS-WSP20-SQU),849813004207,B00P04UUIS,$ 13.74,Uninspected Returns,$ 22.61
CSAA182385,"Portable Audio - beats by dre, Beats, GPB1 LLC",LPXX133760,Portable Audio,Aduro,Aduro AquaSound Shower Bluetooth Speaker - Black Giraffe (AS-WSP20-GR01),849813004184,B00P04UUBU,$ 49.99,Uninspected Returns,$ 22.61
CSAA182385,"Portable Audio - beats by dre, Beats, GPB1 LLC",LPXX135695,Portable Audio,Aduro,Aduro AquaSound Shower Bluetooth Speaker - Black Giraffe (AS-WSP20-GR01),849813004184,B00P04UUBU,$ 49.99,Uninspected Returns,$ 22.61
CSAA182385,"Portable Audio - beats by dre, Beats, GPB1 LLC",LPBV178267,Portable Audio,Aduro,Aduro AquaSound Shower Bluetooth Speaker - Black Giraffe (AS-WSP20-GR01),849813004184,B00P04UUBU,$ 49.99,Uninspected Returns,$ 22.61
CSAA182385,"Portable Audio - beats by dre, Beats, GPB1 LLC",LPBV181250,Portable Audio,Aduro,Aduro AquaSound Shower Bluetooth Speaker - Black Giraffe (AS-WSP20-GR01),849813004184,B00P04UUBU,$ 49.99,Uninspected Returns,$ 22.61
CSAA182385,"Portable Audio - beats by dre, Beats, GPB1 LLC",LPXX129003,Bath & Beauty,Hot Tools,Babyliss Pro Ionic Nano Titanium with Integrated Ion Generator Hair Dryer - Blue - Size: One Size,074108197955,B001T0HHDS,$ 119.99,Uninspected Returns,$ 22.61
CSAA182385,"Portable Audio - beats by dre, Beats, GPB1 LLC",LPBV131186,Portable Audio,Soundbot,SoundBot Bluetooth Portable Speaker - Black (SB571-BLK/BLK),617629990584,B00MITLPX2,$ 24.99,Uninspected Returns,$ 22.61
CSAA182385,"Portable Audio - beats by dre, Beats, GPB1 LLC",LPBV131187,Portable Audio,Soundbot,SoundBot Bluetooth Portable Speaker - Black (SB571-BLK/BLK),617629990584,B00MITLPX2,$ 24.99,Uninspected Returns,$ 22.61
CSAA182385,"Portable Audio - beats by dre, Beats, GPB1 LLC",LPXX124438,Portable Audio,Blue Tiger,Blue Tiger Pro Bluetooth Headset (17-120385),610395305330,B00EV21PN4,$ 89.99,Uninspected Returns,$ 22.61
CSAA182385,"Portable Audio - beats by dre, Beats, GPB1 LLC",LPXX160402,Portable Audio,Sony,Sony On Ear Wired Stereo Headphones - Black (MDR-ZX110),027242867086,B00NJ2M33I,$ 34.49,Uninspected Returns,$ 22.61
CSAA182385,"Portable Audio - beats by dre, Beats, GPB1 LLC",LPBV181097,Portable Audio,Aduro,Aduro Amplify Pro Stereo Bluetooth Headset - Black/Gray,849813008939,B01C7T4I1S,$ 89.99,Uninspected Returns,$ 22.61
CSAA182385,"Portable Audio - beats by dre, Beats, GPB1 LLC",LPBV178221,Portable Audio,Aduro,Aduro Amplify Pro Stereo Bluetooth Headset - Black/Gray,849813008939,B01C7T4I1S,$ 89.99,Uninspected Returns,$ 22.61
CSAA182385,"Portable Audio - beats by dre, Beats, GPB1 LLC",LPBV185679,Portable Audio,Bohm,BOHM On-Ear Wireless Headphones - Black/Silver (B66BLK),852661664929,B01251KZUQ,$ 84.99,Uninspected Returns,$ 22.61
CSAA182385,"Portable Audio - beats by dre, Beats, GPB1 LLC",LPBV181147,Portable Audio,Philips,Philips Bluetooth Wireless Portable Speaker Grey/White,609585248304,B00VTDDF7W,$ 27.53,Uninspected Returns,$ 22.61
CSAA182385,"Portable Audio - beats by dre, Beats, GPB1 LLC",LPXX261553,Portable Audio,Samsung,Active In-Ear Headphones With Remote And Mic - White (EO-EG920LWEGUS),3700785420822,B00ZY7H426,$ 11.99,Uninspected Returns,$ 22.61
CSAA182385,"Portable Audio - beats by dre, Beats, GPB1 LLC",LPXX135883,Portable Audio,Aduro,AquaSound Waterproof Bluetooth Portable Speaker - Anchor (AS-WSP20-ANC),849813010604,B01M27ZZBY,$ 15.99,Uninspected Returns,$ 22.61
CSAA182385,"Portable Audio - beats by dre, Beats, GPB1 LLC",LPXX135389,Portable Audio,Aduro,Aduro Aqua Sound Bluetooth Shower Speaker - Black,,,$ 139.99,Uninspected Returns,$ 22.61
CSAA182385,"Portable Audio - beats by dre, Beats, GPB1 LLC",LPXX123611,Portable Audio,Aduro,Aduro Bluetooth Shower Speaker with Mic & Controls - Black Giraffe - 2Pack,,,$ 24.99,Uninspected Returns,$ 22.61
CSAA182385,"Portable Audio - beats by dre, Beats, GPB1 LLC",LPBV182474,Portable Audio,Aduro,Aduro Aqua-Sound Bluetooth Shower Speaker 2 Pack - Purple,,,$ 139.99,Uninspected Returns,$ 22.61
CSAA182385,"Portable Audio - beats by dre, Beats, GPB1 LLC",LPBV182403,Portable Audio,Brand/Manufacturer,Water-Resistant Bluetooth Speaker: Black,807360097042,,$ 69.99,Uninspected Returns,$ 22.61
CSAA182385,"Portable Audio - beats by dre, Beats, GPB1 LLC",LPBV178410,Portable Audio,Contixo,Contixo Kb2600 Kids Bluetooth Wireless Headphones Over-Ear Foldable  White,731642723421,B013FMJPNC,$ 49.99,Uninspected Returns,$ 22.61
CSAA182385,"Portable Audio - beats by dre, Beats, GPB1 LLC",LPXX123549,Portable Audio,GPCT,GPCT Foldable Streamlined Bluetooth Wireless Stereo Headset - Black,616043300269,B073468T2P,$ 199.99,Uninspected Returns,$ 22.61
CSAA182385,"Portable Audio - beats by dre, Beats, GPB1 LLC",LPBV178283,Portable Audio,Isunnao,iSunnao Bluetooth FM Radio Transmitter Car Kit - Black,712038787210,B07565HG6L,$ 49.99,Uninspected Returns,$ 22.61
CSAA182385,"Portable Audio - beats by dre, Beats, GPB1 LLC",LPBV178282,Portable Audio,Beats By Dr. Dre,Beats Powerbeats3 Wireless Earphones Neighborhood Collection - Brick Red,190198379801,B0765DV52H,$ 199.00,Uninspected Returns,$ 22.61
CSAA182385,"Portable Audio - beats by dre, Beats, GPB1 LLC",LPXX160670,Portable Audio,GPCT,GPCT Foldable Streamlined Bluetooth Wireless Stereo Headset - Pink,616043302744,B077SWN398,$ 199.99,Uninspected Returns,$ 22.61
CSAA182385,"Portable Audio - beats by dre, Beats, GPB1 LLC",LPXX160269,Portable Audio,Philips,Philips EverPlay Portable Bluetooth Speaker - Pink (BT3900),889446008197,B06Y55JWBZ,$ 59.99,Uninspected Returns,$ 22.61
CSAA182385,"Portable Audio - beats by dre, Beats, GPB1 LLC",LPXX135745,Portable Audio,Lax Gadgets,LAX Gadget Laud Over The Ear Bluetooth Headphones - White,817551025693,B07GY8Y9PV,$ 29.99,Uninspected Returns,$ 22.61
CSAA182385,"Portable Audio - beats by dre, Beats, GPB1 LLC",LPXX135393,Portable Audio,LAX Gadgets,Laud Splash Proof Bluetooth Shower Speaker 2-Pack Blue Camo,,,$ 79.99,Uninspected Returns,$ 22.61
CSAA182385,"Portable Audio - beats by dre, Beats, GPB1 LLC",LPBV178469,Portable Audio,Aduro,Aduro Aqua Sound Bluetooth Shower Speaker: 2-Pack/Floral,,,$ 99.99,Uninspected Returns,$ 22.61
CSAA182385,"Portable Audio - beats by dre, Beats, GPB1 LLC",LPAT159449,Portable Audio,Beats by Dre,Beats By Dre Powerbeats 3 Wireless In-Ear Headphones - White,,,$ 199.99,Uninspected Returns,$ 22.61
CSAA182385,"Portable Audio - beats by dre, Beats, GPB1 LLC",LPAT139776,Portable Audio,Beats by Dre,Beats By Dre Powerbeats 3 Wireless In-Ear Headphones - White,,,$ 199.99,Uninspected Returns,$ 22.61
CSAA182385,"Portable Audio - beats by dre, Beats, GPB1 LLC",LPBP437674,Portable Audio,Beats by Dre,Beats By Dre Powerbeats 3 Wireless In-Ear Headphones - White,,,$ 199.99,Uninspected Returns,$ 22.61
CSAA182385,"Portable Audio - beats by dre, Beats, GPB1 LLC",LPAP020169,Portable Audio,Dr. Dre,Dr. Dre Powerbeats 3 Wireless Bluetooth Earbud Headphones  - Black,,,$ 199.99,Uninspected Returns,$ 22.61
CSAA182385,"Portable Audio - beats by dre, Beats, GPB1 LLC",LPAP020170,Portable Audio,Dr. Dre,Dr. Dre Powerbeats 3 Wireless Bluetooth Earbud Headphones  - Black,,,$ 199.99,Uninspected Returns,$ 22.61
CSAA182385,"Portable Audio - beats by dre, Beats, GPB1 LLC",LPAT139237,Portable Audio,Dr. Dre,Dr. Dre Powerbeats 3 Wireless Bluetooth Earbud Headphones  - Black,,,$ 199.99,Uninspected Returns,$ 22.61
CSAA182385,"Portable Audio - beats by dre, Beats, GPB1 LLC",LPAT139241,Portable Audio,Dr. Dre,Dr. Dre Powerbeats 3 Wireless Bluetooth Earbud Headphones  - Black,,,$ 199.99,Uninspected Returns,$ 22.61
CSAA182385,"Portable Audio - beats by dre, Beats, GPB1 LLC",LPAP005581,Portable Audio,Dr. Dre,Dr. Dre Powerbeats 3 Wireless Bluetooth Earbud Headphones  - Black,,,$ 199.99,Uninspected Returns,$ 22.61
CSAA182385,"Portable Audio - beats by dre, Beats, GPB1 LLC",LPAP021004,Portable Audio,Beats by Dre,Beats by Dre BeatsX Wireless In-Ear Headphones - Black,,,$ 149.99,Uninspected Returns,$ 22.61
CSAA182385,"Portable Audio - beats by dre, Beats, GPB1 LLC",LPAP006582,Portable Audio,Beats by Dre,Beats by Dre BeatsX Wireless In-Ear Headphones - Black,,,$ 149.99,Uninspected Returns,$ 22.61
CSAA182385,"Portable Audio - beats by dre, Beats, GPB1 LLC",LPAT164259,Portable Audio,Beats by Dre,Beats by Dre Powerbeats 3 Wireless Bluetooth In-Ear Headphones - Blue,,,$ 199.99,Uninspected Returns,$ 22.61
CSAA182385,"Portable Audio - beats by dre, Beats, GPB1 LLC",LPAP035461,Portable Audio,Beats by Dre,Beats by Dre Powerbeats 3 Wireless Bluetooth In-Ear Headphones - Blue,,,$ 199.99,Uninspected Returns,$ 22.61
CSAA182385,"Portable Audio - beats by dre, Beats, GPB1 LLC",LPAP114839,Portable Audio,Beats by Dre,Beats by Dre Powerbeats 3 Wireless Bluetooth In-Ear Headphones - Blue,,,$ 199.99,Uninspected Returns,$ 22.61
CSAA182385,"Portable Audio - beats by dre, Beats, GPB1 LLC",LPAP020181,Portable Audio,Beats by Dre,Dre Beats Beatsx Wireless In-Ear Headphones - Blue,,,$ 149.99,Uninspected Returns,$ 22.61
CSAA182385,"Portable Audio - beats by dre, Beats, GPB1 LLC",LPAP020182,Portable Audio,Beats by Dre,Dre Beats Beatsx Wireless In-Ear Headphones - Blue,,,$ 149.99,Uninspected Returns,$ 22.61
CSAA182385,"Portable Audio - beats by dre, Beats, GPB1 LLC",LPAP025262,Portable Audio,Beats by Dre,Beats by Dre Powerbeats 3 Wireless Bluetooth In-Ear Headphones - Red,999995003229,,$ 199.99,Uninspected Returns,$ 22.61
CSAA182385,"Portable Audio - beats by dre, Beats, GPB1 LLC",LPAP080309,Portable Audio,Beats by Dre,Beats by Dre Powerbeats 3 Wireless Bluetooth In-Ear Headphones - Red,999995003229,,$ 199.99,Uninspected Returns,$ 22.61
CSAA182385,"Portable Audio - beats by dre, Beats, GPB1 LLC",LPAP163836,Portable Audio,Beats by Dre,Beats by Dre Powerbeats 3 Wireless Bluetooth In-Ear Headphones - Red,999995003229,,$ 199.99,Uninspected Returns,$ 22.61
CSAA182385,"Portable Audio - beats by dre, Beats, GPB1 LLC",LPAT166818,Portable Audio,Beats by Dre,Beats by Dre Powerbeats 3 Wireless Bluetooth In-Ear Headphones - Yellow,,,$ 199.99,Uninspected Returns,$ 22.61
CSAA182385,"Portable Audio - beats by dre, Beats, GPB1 LLC",LPAP005007,Portable Audio,Beats by Dre,Beats by Dre Powerbeats 3 Wireless Bluetooth In-Ear Headphones - Yellow,,,$ 199.99,Uninspected Returns,$ 22.61
CSAA182385,"Portable Audio - beats by dre, Beats, GPB1 LLC",LPAP020206,Portable Audio,Beats by Dre,Beats by Dr. Dre Studio 2 Wireless On-Ear Headphones - Black/Red,,,$ 379.99,Uninspected Returns,$ 22.61
CSAA182385,"Portable Audio - beats by dre, Beats, GPB1 LLC",LPAP005571,Portable Audio,Beats by Dre,Beats Solo 3 Wireless Bluetooth On-Ear Headphones - Black,,,$ 299.99,Uninspected Returns,$ 22.61
CSAA182385,"Portable Audio - beats by dre, Beats, GPB1 LLC",LPAT148886,Portable Audio,Beats by Dre,Beats Solo 3 Wireless Bluetooth On-Ear Headphones - Black,,,$ 299.99,Uninspected Returns,$ 22.61
CSAA182385,"Portable Audio - beats by dre, Beats, GPB1 LLC",LPAT142929,Portable Audio,Beats by Dre,Beats Solo 3 Wireless Bluetooth On-Ear Headphones - Black,,,$ 299.99,Uninspected Returns,$ 22.61
CSAA182385,"Portable Audio - beats by dre, Beats, GPB1 LLC",LPAT139145,Portable Audio,Beats by Dre,Beats by Dr. Dre Studio 2 Wireless On-Ear Headphones - Gold,,,$ 379.99,Uninspected Returns,$ 22.61
CSAA182385,"Portable Audio - beats by dre, Beats, GPB1 LLC",LPAP001413,Portable Audio,Beats by Dre,Beats by Dr. Dre Studio 2 Wireless On-Ear Headphones - Gold,,,$ 379.99,Uninspected Returns,$ 22.61
CSAA182385,"Portable Audio - beats by dre, Beats, GPB1 LLC",LPBT204624,Portable Audio,GPB1 LLC,Refurbished Ultimate Ears Megaboom Portable Wireless Bluetooth Speaker (Refurbished B-Grade) Charcoal,,,$ 249.99,Uninspected Returns,$ 22.61
CSAA182385,"Portable Audio - beats by dre, Beats, GPB1 LLC",LPBP445496,Portable Audio,Ue Logitech,UE Logitech Megaboom Portable Bluetooth Speaker - Black,,,$ 136.99,Uninspected Returns,$ 22.61
CSAA182385,"Portable Audio - beats by dre, Beats, GPB1 LLC",LPXX123643,Portable Audio,South Beach,South Beach Bluetooth Wireless Speaker Tiki Torch Water Resistant Tabletop/Post  Black Wireless Torch Speaker,191205339269,B0821RVC4F,$ 28.99,Uninspected Returns,$ 22.61
CSAA182385,"Portable Audio - beats by dre, Beats, GPB1 LLC",LPBV178022,Portable Audio,Pom Gear,POM Gear LN-2 True Wireless Bluetooth 5.0 Earbuds with Microphone - Black,,,$ 99.99,Uninspected Returns,$ 22.61
CSAA182385,"Portable Audio - beats by dre, Beats, GPB1 LLC",LPBV178462,Portable Audio,PicassoTiles,Picassotiles Kid Safe Eye Sleep Mask W/ Built-In Headphones Panda,817338021665,,$ 29.99,Uninspected Returns,$ 22.61
CSAA182385,"Portable Audio - beats by dre, Beats, GPB1 LLC",LPXX160633,Portable Audio,Skullcandy,Skullcandy Sesh True Wireless In-Ear Headphones - Black (S2TDW-M003),878615099418,B07VPX4W35,$ 49.99,Uninspected Returns,$ 22.61
CSAA182385,"Portable Audio - beats by dre, Beats, GPB1 LLC",LPXX132779,Portable Audio,Beats by Dre,Beats Studio2 Wired Over-ear Noise Cancelling Headphones - Red,631661702776,,$ 299.95,Uninspected Returns,$ 22.61
CSAA182385,"Portable Audio - beats by dre, Beats, GPB1 LLC",LPBT204597,Portable Audio,Beats,Beats Studio 2.0 Wired Over-Ear Noise Cancelling Headphones - Blue,631661702790,,$ 299.95,Uninspected Returns,$ 22.61
CSAA182385,"Portable Audio - beats by dre, Beats, GPB1 LLC",LPXX160673,Portable Audio,Motorola,Motorola VerveBuds 500 True Wireless Bluetooth in-Ear Headphones - Works with Alexa - Black,816479016684,B07M5KH7RH,$ 79.98,Uninspected Returns,$ 22.61
CSAA182385,"Portable Audio - beats by dre, Beats, GPB1 LLC",LPXX135378,Portable Audio,Jarv,Jarv Active Motion Wireless Bluetooth 5.1 Stereo Earbuds - Red/Black,810004070851,B083JLKCPG,$ 99.99,Uninspected Returns,$ 22.61
CSAA182385,"Portable Audio - beats by dre, Beats, GPB1 LLC",LPBV178186,Portable Audio,Jarv,Jarv Active Motion Wireless Bluetooth 5.1 Stereo Earbuds - Red/Black,810004070851,B083JLKCPG,$ 99.99,Uninspected Returns,$ 22.61
CSAA182385,"Portable Audio - beats by dre, Beats, GPB1 LLC",LPBV181152,Portable Audio,Jarv,Jarv Active Motion Wireless Bluetooth 5.1 Stereo Earbuds - Red/Black,810004070851,B083JLKCPG,$ 99.99,Uninspected Returns,$ 22.61
CSAA182385,"Portable Audio - beats by dre, Beats, GPB1 LLC",LPXX124502,Portable Audio,Echo,Refurbished Amazon Echo Or Echo Dot 2nd Generation (Refurbished B-Grade) Home Speakers Amazon Echo Dot - Black,689518369771,,$ 27.99,Uninspected Returns,$ 22.61
CSAA182385,"Portable Audio - beats by dre, Beats, GPB1 LLC",LPBV178102,Portable Audio,Fisher,Fisher True Wireless Earbuds With Charging Case Siri Google Assistant Ftw300k Black,694026820119,,$ 39.99,Uninspected Returns,$ 22.61
CSAA182385,"Portable Audio - beats by dre, Beats, GPB1 LLC",LPXX148497,Portable Audio,Skullcandy,Skullcandy Sesh True Wireless Bluetooth 5.0 Earbuds Red,878615099975,B07VMTLX25,$ 59.99,Uninspected Returns,$ 22.61
CSAA182385,"Portable Audio - beats by dre, Beats, GPB1 LLC",LPBV180925,Portable Audio,Skullcandy,SkullCandy Indy True Wireless Earbuds - Mint (S255W),,,$ 84.99,Uninspected Returns,$ 22.61
CSAA182385,"Portable Audio - beats by dre, Beats, GPB1 LLC",LPXX123640,Portable Audio,Zummy,Zummy Mini Retro Bluetooth Speaker Vintage Wireless Stereo Support Fm Radio Black,021893855478,,$ 49.99,Uninspected Returns,$ 22.61
CSAA182385,"Portable Audio - beats by dre, Beats, GPB1 LLC",LPBV182406,Portable Audio,Marquee Tech,Matte True Wireless Earbuds With Charging Case Screen Connect & Touch Controls Black,637459485593,,$ 99.99,Uninspected Returns,$ 22.61
CSAA182385,"Portable Audio - beats by dre, Beats, GPB1 LLC",LPXX258946,Portable Audio,2BOOM,2boom Tws150 True Wireless Earphones With Charging Case Bluetooth Built-In Mic Blue,669818914895,,$ 12.99,Uninspected Returns,$ 22.61
CSAA182385,"Portable Audio - beats by dre, Beats, GPB1 LLC",LPXX261184,Portable Audio,2Boom,2boom True Wireless Bluetooth Earphones with Charging Case - Black,669818914857,,$ 14.99,Uninspected Returns,$ 22.61
CSAA182385,"Portable Audio - beats by dre, Beats, GPB1 LLC",LPBV178437,Portable Audio,Toshiba,Toshiba Air Pro True Wireless Headphones - Rose Gold (RZE-BT1000),818723021390,,$ 149.99,Uninspected Returns,$ 22.61
CSAA182385,"Portable Audio - beats by dre, Beats, GPB1 LLC",LPXX148455,Portable Audio,Toshiba,Toshiba Air Pro True Wireless Headphones - Rose Gold (RZE-BT1000),818723021390,,$ 149.99,Uninspected Returns,$ 22.61
CSAA182385,"Portable Audio - beats by dre, Beats, GPB1 LLC",LPXX135317,Portable Audio,LAX Gadgets,Lax Gadgets Portable Wireless Bluetooth LED Speaker With Disco Lights Green 2-Pack,,,$ 49.99,Uninspected Returns,$ 22.61
CSAA182385,"Portable Audio - beats by dre, Beats, GPB1 LLC",LPXX148218,Portable Audio,Skullcandy,Skullcandy Indy True Wireless Earbuds Pink,810015586525,,$ 84.99,Uninspected Returns,$ 22.61
CSAA182385,"Portable Audio - beats by dre, Beats, GPB1 LLC",LPBV125990,Portable Audio,BH Classics,Vibes Air Wireless Headphones Lightweight Stereo Noise-Cancelling Earbuds White,712038561643,B074B6HS23,$ 39.99,Uninspected Returns,$ 22.61
CSAA182385,"Portable Audio - beats by dre, Beats, GPB1 LLC",LPXX148527,Portable Audio,MOBILESTAR LLC,Aduro AQUA Sound Bluetooth Shower Speaker with Mic and Controls Emoji 2 Pack,,,$ 127.18,Uninspected Returns,$ 22.61
